Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12412308,20779953,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25758869,31042235,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,47347,57821,56079,55759,55667,55713,55791,55812,55741,55620,55465,..
"Population, total",SP.POP.TOTL,Andorra,AND,54509,65390,84449,83747,82427,80774,79213,78011,77297,77001,77006,..
"Population, total",SP.POP.TOTL,Angola,AGO,11848386,16395473,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,62528,76016,88028,89253,90409,91516,92562,93566,94527,95426,96286,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32618651,36870787,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3538171,3069591,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62149,90853,101669,102046,102560,103159,103774,104341,104872,105366,105845,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8847037,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9942334,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256223,298051,354942,359577,363584,367168,370633,374206,377931,381761,385640,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,495931,664611,1240860,1278151,1299943,1315029,1336075,1371851,1425791,1494074,1569439,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,103171956,127657854,147575430,149273778,151007807,152764676,154520167,156256276,157970840,159670593,161356039,..
"Population, total",SP.POP.TOTL,Barbados,BRB,260936,271515,282131,282987,283700,284296,284825,285324,285796,286233,286641,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,9979610,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9485386,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11422068,..
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247315,322464,330237,338000,345715,353366,360933,368400,375769,383071,..
"Population, total",SP.POP.TOTL,Benin,BEN,4978496,6865951,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,65124,64564,64798,65001,65139,65239,64555,63874,63968,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,530804,591021,685503,693298,701583,710238,719056,727876,736709,745568,754394,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,6864842,8418264,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463423,3751176,3705472,3661175,3604972,3542605,3482104,3429361,3386267,3351527,3323929,..
"Population, total",SP.POP.TOTL,Botswana,BWA,1286756,1643334,1987105,2015402,2039551,2062536,2088614,2120716,2159944,2205128,2254126,..
